nginx-web  | /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:22:30 +0000] "GET /no-existe-8 HTTP/1.1" 301 169 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:22:30 +0000] "GET /no-existe-9 HTTP/1.1" 301 169 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:22:30 +0000] "GET /no-existe-10 HTTP/1.1" 301 169 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:23:47 +0000] "GET /no-existe-1 HTTP/1.1" 404 153 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:23:47 +0000] "GET /no-existe-2 HTTP/1.1" 404 153 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:23:47 +0000] "GET /no-existe-3 HTTP/1.1" 404 153 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:23:47 +0000] "GET /no-existe-4 HTTP/1.1" 404 153 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:23:47 +0000] "GET /no-existe-5 HTTP/1.1" 404 153 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:23:47 +0000] "GET /no-existe-6 HTTP/1.1" 404 153 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:23:47 +0000] "GET /no-existe-7 HTTP/1.1" 404 153 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:23:47 +0000] "GET /no-existe-8 HTTP/1.1" 404 153 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:23:47 +0000] "GET /no-existe-9 HTTP/1.1" 404 153 "-" "curl/8.16.0" "-"
nginx-web  | 172.18.0.1 - - [16/Jan/2026:11:23:47 +0000] "GET /no-existe-10 HTTP/1.1" 404 153 "-" "curl/8.16.0" "-"
